User,dx,dy,Diversionx,Diversiony
Southern Nevada Water Authority,2001077.088,27049702.93,1905787.703,27117496.67
Central Arizona Water Conservation District,2001077.088,27185290.41,1905787.703,27117496.67
Wellton Mohawk IDD,1424007.529,26674720.82,1017148.235,26151687.08
North Gila Valley IDD,1424007.529,26543962.39,1017148.235,26151687.08
Yuma IDD,1424007.529,26413203.95,1017148.235,26151687.08
Yuma Mesa IDD,1424007.529,26282445.52,1017148.235,26151687.08
Unit B IDD,1424007.529,26151687.08,1017148.235,26151687.08
Yuma County WUA,1424007.529,26020928.64,1017148.235,26151687.08
Bullhead City,1424007.529,25890170.21,1017148.235,26151687.08
Lake Havasu City,1424007.529,25759411.77,1017148.235,26151687.08
City of Yuma,1424007.529,25628653.34,1017148.235,26151687.08
Mohave IDD,1076498.022,26628191.41,936085.2364,26495712.85
Cibola Valley IDD,1076498.022,26495712.85,936085.2364,26495712.85
Fort Mojave Indian Tribe,1076498.022,26363234.29,936085.2364,26495712.85
Metropolitan Water District of Southern California,699103.7691,27289269.43,998719.6702,26754185.72
Imperial Irrigation District,699103.7691,27155498.51,998719.6702,26754185.72
Coachella Valley Water District,699103.7691,27021727.58,998719.6702,26754185.72
Palo Verde ID,699103.7691,26887956.65,998719.6702,26754185.72
Bard Water District,699103.7691,26754185.72,998719.6702,26754185.72
Colorado River Indian Tribes,699103.7691,26620414.79,998719.6702,26754185.72
Chemehuevi Indian Tribe,699103.7691,26486643.86,998719.6702,26754185.72
Cocopah Indian Tribe,699103.7691,26352872.93,998719.6702,26754185.72
Quechan Indian Tribe,699103.7691,26219102.01,998719.6702,26754185.72
