OBJECTID *,SHAPE *,Longitude,Latitude
1001,Point,1886772.955,27095276.31
1002,Point,1857764.219,27094435.14
1003,Point,1851448.893,27059714.99
1004,Point,1825221.592,27047458.41
1005,Point,1812879.676,27014330.31
1006,Point,1789490.108,26990316.43
1007,Point,1782651.856,26954898.73
1008,Point,1766457.199,26926791.4
1009,Point,1759385.965,26893704.88
1010,Point,1753267.147,26860800.08
1011,Point,1757040.385,26823382.92
1012,Point,1767772.207,26788115.51
1013,Point,1759175.455,26754190.1
1014,Point,1731577.438,26740766.21
1015,Point,1702644.01,26751954.19
1016,Point,1672636.963,26756803.04
1017,Point,1642950.767,26764064.18
1018,Point,1620807.163,26786319.6
1019,Point,1597601.188,26805197.33
1020,Point,1575342.658,26795473.54
1021,Point,1559571.207,26819171.82
1022,Point,1569288.463,26853448.1
1023,Point,1541411.011,26864876.69
1024,Point,1517413.539,26851430.67
1025,Point,1495688.793,26830725.33
1026,Point,1470315.016,26815318.77
1027,Point,1440217.53,26808090.98
1028,Point,1418689.243,26796517.54
1029,Point,1393810.526,26780559.93
1030,Point,1364935.949,26770460.26
1031,Point,1348737.436,26743529.49
1032,Point,1319641.812,26742444.82
1033,Point,1321339.601,26706129.68
1034,Point,1326887.751,26670608.95
1035,Point,1320899.733,26636044.75
1036,Point,1297376.399,26621202.01
1037,Point,1268386.171,26632785.93
1038,Point,1244354.41,26655081.58
1039,Point,1217338.725,26649083.06
1040,Point,1206260.036,26684643.35
1041,Point,1188210.564,26714643.53
1042,Point,1164263.928,26729806.38
1043,Point,1143334.019,26752937.87
1044,Point,1121017.122,26776792.64
1045,Point,1097600.588,26762362.7
1046,Point,1087601.135,26727490.05
1047,Point,1060796.154,26712494.34
1048,Point,1035908.133,26729636.19
1049,Point,1014127.783,26754890.05
1050,Point,983598.4757,26754593.98
1051,Point,952970.5028,26757691.8
1052,Point,922874.6431,26750582.79
1053,Point,908939.835,26719830.1
1054,Point,911200.5732,26686229.41
1055,Point,925922.0051,26656424.63
1056,Point,913455.2853,26630648.17
1057,Point,915530.9504,26595622.01
1058,Point,930027.9614,26566813.16
1059,Point,930209.1963,26535695.78
1060,Point,930202.4083,26502239.32
1061,Point,946427.9375,26470387.43
1062,Point,950777.9413,26433975.82
1063,Point,958914.8968,26397948.99
1064,Point,942484.7718,26369596.28
1065,Point,941052.716,26338248.13
1066,Point,936679.1305,26301455.31
1067,Point,956546.1978,26274117.53
1068,Point,975602.9415,26245031.31
1069,Point,997373.0544,26218886.01
1070,Point,1004622.014,26185931.69
1071,Point,1017113.659,26153714.48
1072,Point,1040572.001,26132288.7
1073,Point,1063604.794,26113385.56
1074,Point,1088551.251,26096937.5
1075,Point,1082923.129,26067362.6
1076,Point,1061613.6,26044365.82
1077,Point,1034775.738,26025830.73
1078,Point,1006992.678,26011550.27
1079,Point,994694.2189,25978563.37
1080,Point,975257.6256,25953313.58
1081,Point,984012.8827,25925961.35
1082,Point,984055.8337,25890370.81
1083,Point,978839.2237,25859874.41
1084,Point,976288.8587,25823273.62
1085,Point,961278.5663,25794147.24
1086,Point,947897.2259,25763775.02
1087,Point,923088.1685,25750056.91
1088,Point,932145.7682,25714364.44
1089,Point,930736.1903,25677178.53
1090,Point,927167.0731,25640952.29
1091,Point,946795.4266,25626597.37
1092,Point,973101.1804,25628131.23
1093,Point,994410.2756,25602463.91
1094,Point,1001700.18,25572579.84
1095,Point,984197.8764,25543545.27
1096,Point,968825.2109,25515740.1
1097,Point,937545.0127,25518649.9
1098,Point,916598.5286,25496933.47
1099,Point,898163.2542,25473781.29
1100,Point,897574.2658,25449796.29
