User,dx,dy
Robert B. Griffith Water Project,699103.7691,26919087.4
Central Arizona Project,1424007.529,26127655.58
Wellton-Mohawk I.D.D.,1905787.703,25988886.65
North Gila Valley I.D.D.,1905787.703,26266424.52
Yuma Irrigation District,1905787.703,25711348.78
Yuma Mesa I.D.D.,1905787.703,25850117.71
Unit 'B' I.D.D.,1905787.703,26127655.58
Yuma County WUA,1905787.703,25572579.84
Bullhead City,699103.7691,26543962.39
Lake Havasu City,1424007.529,26682731.33
City of Yuma,1905787.703,26405193.45
Mohave Valley I.D.D.,1172486.567,26495712.85
Cibola Valley I.D.D.,699103.7691,26335808.99
Fort Mojave Indian Reservation,1424007.529,26266424.52
Met. Water District of So. Cal.,1424007.529,26405193.45
Imperial Irrigation District,699103.7691,25988886.65
Coachella Valley Water District,699103.7691,25711348.78
Palo Verde Irrigation District,699103.7691,26197040.05
Bard Unit,699103.7691,25572579.84
Colorado River Indian Reservation,1172486.567,25877855.74
Chemehuevi Indian Reservation,1424007.529,26543962.39
Cocopah Indian Reservation,699103.7691,25850117.71
